node1	node2
CRP	HIST1H2AL
CRP	LEP
CSE1L	STAT1
CSF1	TNF
CSF2RB	JAK1
CSF2RB	STAT1
CSF3R	JAK1
CSTA	CTSL
CTDSPL2	JAK1
CTNNBL1	STAT1
CTRL	PDIA5
CTRL	PSME1
CTRL	PSME2
CTRL	SERPINA3
CTSH	CTSL
CTSL	CTSL3P
CTSL	CTSV
CTSL	EED
CTSL	GEM
CTSL	MOV10
CTSL	NXF1
CTSL	PGD
CTSL	PPP1CC
CTSL	RELB
CTSL	RXRA
CTSL	SERPINB3
CTSL	SGTA
CTTN	STAT1
CUL1	IRF3
CXCL10	CXCR3
CXCL10	DPP4
CXCL10	IGFBP7
CXCL10	VCAN
CXCL8	CXCR2
CXCL8	EP300
CXCL8	POMGNT1
CXCL8	SDC1
CXCL8	SGTA
CXCL8	TP53
CXCL9	CXCR3
CXCL9	PAX8
CXCL9	PTPN5
CXCL9	SFTPC
CXCL9	SYNE4
CXCL9	DPP4
CXCR4	STAT1
CXCR4	JAK1
CYLD	DDX58
CYLD	TNF
DAB2	GAK
DAG1	TNF
DAXX	MX1
DBN1	GAK
DCN	TNF
DCTN1	IRF3
DCTN1	STAT1
DDB1	STAT1
DDX19B	TNF
DDX3X	IRF3
DDX58	IRF3
DDX58	GLTSCR2
DDX58	HDAC6
DDX58	IFIT3
DDX58	IKBKE
DDX58	IKBKG
DDX58	IRGM
DDX58	ISG15
DDX58	MAVS
DDX58	MBP
DDX58	MEX3C
DDX58	NLRC5
DDX58	PRKCA
DDX58	PRKCB
DDX58	PRKCG
DDX58	PRKRIR
DDX58	RAI14
DDX58	RBCK1
DDX58	RNF135
DDX58	RNF31
DDX58	SRC
DDX58	TBK1
DDX58	TIA1
DDX58	TRIM25
DDX58	TRIM32
DDX58	TSPAN6
DDX58	UBC
DDX58	UBD
DDX58	UBE2D1
DDX58	UBE2D2
DDX58	UBE2D3
DDX58	UBE2K
DDX58	USP15
DDX58	USP21
DDX58	USP3
DDX58	USP4
DDX58	VAPA
DDX58	WRNIP1
DEAF1	IRF3
DENND1A	GAK
DMWD	GAK
DOT1L	STAT1
DSG3	FURIN
DSP	JAK1
DTX3L	STAT1
DTX3L	JAK1
DUSP3	STAT1
E2F1	STAT1
EDA	FURIN
EDRF1	GAK
EGFR	SH2D3A
EGFR	STAT1
EGFR	JAK1
EID1	JAK1
EIF1AD	STAT1
EIF2AK2	STAT1
EIF2AK2	JAK1
EIF4A3	JAK1
ELAVL1	TNF
ELAVL1	FURIN
ELF3	JAK1
ELP2	STAT1
ELP2	JAK1
EP300	IRF3
EP300	STAT1
EPM2AIP1	MX1
EPS15	GAK
ERBB2	SH2D3A
ERBB2	STAT1
ERBB2	JAK1
ESYT2	IRF3
EWSR1	IRF3
EZR	ICAM3
FADD	TNF
FADD	STAT1
FAM46A	JAK1
FAM83B	GAK
FAM83H	GAK
FANCA	MX1
FANCC	STAT1
FANCE	STAT1
FAS	TNF
FASN	IRF3
FBXW11	TNF
FBXW7	GAK
FEM1B	GAK
FER	JAK1
FES	JAK1
FGFR3	STAT1
FGFR4	STAT1
FLG2	JAK1
FLNA	FURIN
FLNC	FURIN
FLT1	STAT1
FLT4	TNF
FOS	STAT1
FOXA3	STAT1
FOXK2	IL2
FOXO1	IRF3
FREM2	TNF
FURIN	HUWE1
FURIN	PACS1
FURIN	SERPINB8
FURIN	SGTB
FURIN	ITM2C
FURIN	LECT1
FURIN	LRP1
FURIN	NAGPA
FURIN	NOTCH1
FURIN	PDGFA
FURIN	PMCH
FURIN	PRB4
FURIN	SORCS1
FURIN	SORL1
FURIN	TNFSF13
FURIN	VWF
FURIN	ZP3
FURIN	ZP4
FYN	TNF
FYN	STAT1
GAK	GOLGB1
GAK	GTSE1
GAK	HIP1
GAK	HIP1R
GAK	INF2
GAK	KIDINS220
GAK	KIF3A
GAK	LGR4
GAK	LIMA1
GAK	MISP
GAK	MYO1C
GAK	MYO6
GAK	NTRK1
GAK	NUMB
GAK	PARP10
GAK	PHGDH
GAK	PHKG2
GAK	PICALM
GAK	PIK3C2A
GAK	PLXNA3
GAK	PPM1B
GAK	PSMA5
GAK	PUS7L
GAK	RBM14
GAK	SEC13
GAK	SEC16A
GAK	SEC24C
GAK	SP1
GAK	SPTAN1
GAK	STAMBP
GAK	STAMBPL1
GAK	STON2
GAK	SYNPO
GAK	TNK1
GAK	TNK2
GAK	USO1
GAK	WNK1
GAK	XPR1
GAK	ZNF106
GAK	HSPA8
GFAP	STAT1
GHR	JAK1
GK	TNF
GLS	TNF
GMEB1	MX1
GNB2	STAT1
GNB2L1	STAT1
GNB2L1	JAK1
GPT	RALA
GPT	SASS6
GRB2	JAK1
GRIP1	IRF3
GSPT2	STAT1
GTF2I	STAT1
GUF1	TNF
HADH	STAT1
HDAC1	STAT1
HDAC3	IRF3
HDAC3	STAT1
HDAC4	STAT1
HERC5	IRF3
HIRIP3	STAT1
HIST1H2BJ	STAT1
HIST2H3C	STAT1
HIST3H3	JAK1
HK2	IRF3
HLA-B	STAT1
HLA-DRB5	STAT1
HMGXB4	MX1
HNRNPA1	MX1
HNRNPA1	TNF
HNRNPD	TNF
HRH1	IL6
HS6ST2	TNF
HSF1	STAT1
HSP90AA1	IRF3
HSP90AA1	JAK1
HSP90AB1	STAT1
HSP90B1	STAT1
HSP90B3P	TNF
HSPA12A	TNF
HSPA13	TNF
HSPA4L	STAT1
HSPB1	TNF
HSPB2	TNF
HUWE1	STAT1
ICAM3	ITGAD
ICAM3	MSN
ICAM3	ITGAL
ICAM3	ITGB2
ICAM3	PRKCQ
ICAM3	ZBTB16
ICOS	TNF
IDE	STAT1
IFNA1	IFNAR1
IFNA1	IL2
IFNA1	IRF9
IFNAR1	IFNB1
IFNAR2	STAT1
IFNAR2	JAK1
IFNAR2	IFNB1
IFNG	IFNGR1
IFNG	IFNGR2
IFNG	STAT6
IFNG	TNF
IFNG	PDIA3
IFNGR1	STAT1
IFNGR1	JAK1
IGBP1	STAT1
IGF1R	JAK1
IKBKB	TNF
IKBKE	IRF3
IKBKG	TNF
IL10	IL10RA
IL10	IL10RB
IL10RA	JAK1
IL17A	IL2
IL2	IL2RG
IL2	IL2RA
IL2	IL2RB
IL2	NGFR
IL2	SHC1
IL21R	JAK1
IL27RA	STAT1
IL27RA	JAK1
IL2RB	STAT1
IL2RB	JAK1
IL2RG	JAK1
IL2RG	STAT1
IL3RA	JAK1
IL4R	JAK1
IL5RA	JAK1
IL6	IL6R
IL6	SH3GL2
IL6	ZBTB16
IL6	IL6ST
IL6	PTHLH
IL6ST	JAK1
IL7R	JAK1
IL9R	JAK1
INPP5D	JAK1
INSR	JAK1
INTS5	TNF
IPO5	IRF3
IRAK1	STAT1
IRF1	STAT1
IRF2	STAT1
IRF3	IRF5
IRF3	IRF7
IRF3	KIT
IRF3	LPHN2
IRF3	MAFB
IRF3	MAPK8
IRF3	MAPK9
IRF3	MAVS
IRF3	PEX19
IRF3	PIAS4
IRF3	PIN1
IRF3	POLR2A
IRF3	PPIP5K1
IRF3	PRDX1
IRF3	PSMA5
IRF3	RB1
IRF3	RBL1
IRF3	RBL2
IRF3	SALL2
IRF3	SGTA
IRF3	SLMAP
IRF3	SMAD2
IRF3	SMAD4
IRF3	SMC1A
IRF3	SMC2
IRF3	SOCS1
IRF3	SORT1
IRF3	SYNGR3
IRF3	TANK
IRF3	TBK1
IRF3	TEX36
IRF3	TICAM1
IRF3	TLR2
IRF3	TMEM173
IRF3	TOMM70A
IRF3	TRAF2
IRF3	TRAF3
IRF3	TRAF3IP2
IRF3	TRAF6
IRF3	TRIM21
IRF3	TRIM26
IRF3	TRO
IRF3	TUBB8
IRF3	ULK1
IRF3	WRNIP1
IRF3	XIAP
IRF3	XPO1
IRF3	PPIB
IRF3	RELA
IRF3	SERPINB2
IRF3	SMURF2
IRF3	SYT1
IRF3	TICAM2
IRF9	STAT1
IRS1	JAK1
IRS2	JAK1
ISG15	MX1
ISG15	STAT1
ITGAV	STAT1
ITIH2	TNF
JAK1	STAT1
JAK1	JAK3
JAK1	KIF24
JAK1	KRAS
JAK1	LPAR6
JAK1	MAGOH
JAK1	MDM2
JAK1	NOC2L
JAK1	NPM1
JAK1	NTRK1
JAK1	PLA2G4A
JAK1	PLAUR
JAK1	PLCG1
JAK1	PML
JAK1	PRMT5
JAK1	PTK2B
JAK1	PTPN11
JAK1	PTPN6
JAK1	RAF1
JAK1	RNF125
JAK1	SHB
JAK1	SIRT1
JAK1	SMURF1
JAK1	SOCS1
JAK1	SOCS3
JAK1	STAM2
JAK1	STAT3
JAK1	STAT5A
JAK1	STAT5B
JAK1	STAT6
JAK1	TAGLN
JAK1	TEC
JAK1	TGFBR2
JAK1	TIRAP
JAK1	TNFRSF1A
JAK1	TOP1
JAK1	TSHR
JAK1	TYK2
JAK1	UBL4A
JAK1	JAKMIP1
JAK1	MDK
JAK1	OSMR
JAK1	PDGFRA
JAK1	PDGFRB
JAK1	PIK3R1
JAK1	PLCG2
JAK1	PRKCZ
JAK1	PTPN2
JAK1	PTPRC
JAK1	SH2B2
JAK1	STAM
JAK1	STAT2
JAK1	SYK
JAK2	STAT1
JMJD6	STAT1
JUN	STAT1
KARS	STAT1
KDR	STAT1
KIF26B	MX1
KIT	STAT1
KLHL35	MX1
KPNA1	STAT1
KPNA6	STAT1
